02-05-2024 06:52:12 root:INFO:Source Port: 46313, Destination IP: 39.156.66.10, TCP Payload: b''
02-05-2024 06:52:12 root:INFO:Source Port: 46313, Destination IP: 39.156.66.10, TCP Payload: b''
02-05-2024 06:52:12 root:INFO:Source Port: 46313, Destination IP: 39.156.66.10, TCP Payload: b'GET / HTTP/1.0\r\nUser-Agent: Wget/1.10.2\r\nAccept: */*\r\nHost: baidu.com\r\nConnection: Keep-Alive\r\n\r\n'
02-05-2024 06:52:13 root:INFO:Source Port: 46313, Destination IP: 39.156.66.10, TCP Payload: b''
02-05-2024 06:52:14 root:INFO:Source Port: 46314, Destination IP: 39.156.66.10, TCP Payload: b''
02-05-2024 06:52:17 root:INFO:Source Port: 46314, Destination IP: 39.156.66.10, TCP Payload: b''
02-05-2024 06:52:23 root:INFO:Source Port: 46314, Destination IP: 39.156.66.10, TCP Payload: b''
02-05-2024 06:53:09 root:INFO:Source Port: 45434, Destination IP: 110.242.68.66, TCP Payload: b''
02-05-2024 06:53:09 root:INFO:Source Port: 45434, Destination IP: 110.242.68.66, TCP Payload: b''
02-05-2024 06:53:10 root:INFO:Source Port: 45434, Destination IP: 110.242.68.66, TCP Payload: b'GET / HTTP/1.0\r\nUser-Agent: Wget/1.10.2\r\nAccept: */*\r\nHost: baidu.com\r\nConnection: Keep-Alive\r\n\r\n'
02-05-2024 06:53:10 root:INFO:Source Port: 45434, Destination IP: 110.242.68.66, TCP Payload: b''
02-05-2024 06:53:10 root:INFO:Source Port: 45434, Destination IP: 110.242.68.66, TCP Payload: b''
02-05-2024 06:53:10 root:INFO:Source Port: 45434, Destination IP: 110.242.68.66, TCP Payload: b''
